"model","variable","n","events","beta","hazard_ratio","ci_lower_95","ci_upper_95","p_value"
"Factor1_univariable","Factor1",103,75,-0.269640024361395,0.763654341824057,0.567515636466493,1.02758041596474,0.0750224100399553
"Factor3_univariable","Factor3",103,75,0.187112033365847,1.20576236309911,0.997706793882624,1.45720454664699,0.0528423553730724
"Factor1_Factor3_multivariable","Factor1",103,75,-0.261622856553636,0.769801294480491,0.574389229949675,1.03169419286598,0.0799255999961762
"Factor1_Factor3_multivariable","Factor3",103,75,0.182488181851509,1.20019996672834,0.993881970053672,1.44934710915111,0.0579339310443816
